seed,dataset_size,parameter_scale,regularization_C,feature_map,gram_symmetry_error,minimum_eigenvalue,condition_number,kernel_target_alignment,effective_rank,test_accuracy,axis_support
19,126,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.452252757447405e-14,1154186712076.1003,0.007492925054666787,1.4188561348953663,0.6666666666666666,supported
19,126,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.336155592430066e-14,1151698364747.4307,0.014714781299116532,1.425707035290785,0.7407407407407407,supported
19,126,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.336155592430066e-14,1151698364747.4307,0.014714781299116532,1.425707035290785,0.7777777777777778,supported
19,126,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.336155592430066e-14,1151698364747.4307,0.014714781299116532,1.425707035290785,0.7592592592592593,supported
43,40,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.174788552877712e-15,378152911119.0466,0.013051550082749415,1.2678754253615991,0.5,supported
43,40,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.174788552877712e-15,378152911119.0466,0.013051550082749415,1.2678754253615991,0.5,supported
43,40,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.174788552877712e-15,378152911119.0466,0.013051550082749415,1.2678754253615991,0.6296296296296297,supported
43,40,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.458697320240618e-15,365968713083.1177,0.0163363364447369,1.421383344637301,0.5,supported
43,40,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.458697320240618e-15,365968713083.1177,0.0163363364447369,1.421383344637301,0.6481481481481481,supported
43,40,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.458697320240618e-15,365968713083.1177,0.0163363364447369,1.421383344637301,0.6666666666666666,supported
43,40,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-6.0834365354540375e-15,361232141459.77826,0.019760097144315553,1.4751084040941322,0.5,supported
43,40,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-6.0834365354540375e-15,361232141459.77826,0.019760097144315553,1.4751084040941322,0.7407407407407407,supported
43,40,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-6.0834365354540375e-15,361232141459.77826,0.019760097144315553,1.4751084040941322,0.7222222222222222,supported
43,80,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.3722050478221835e-14,758299494480.6995,0.0022791495251670278,1.2586262411630431,0.5,supported
43,80,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.3722050478221835e-14,758299494480.6995,0.0022791495251670278,1.2586262411630431,0.5,supported
43,80,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.3722050478221835e-14,758299494480.6995,0.0022791495251670278,1.2586262411630431,0.6296296296296297,supported
43,80,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.0790084763298634e-14,728961641606.0997,0.007470706644695088,1.439141979619237,0.5,supported
43,80,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.0790084763298634e-14,728961641606.0997,0.007470706644695088,1.439141979619237,0.6481481481481481,supported
43,80,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.0790084763298634e-14,728961641606.0997,0.007470706644695088,1.439141979619237,0.6481481481481481,supported
43,80,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.744098948264809e-14,724016024044.3425,0.01997870058617422,1.4675143148049081,0.5,supported
43,80,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.744098948264809e-14,724016024044.3425,0.01997870058617422,1.4675143148049081,0.7222222222222222,supported
43,80,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.744098948264809e-14,724016024044.3425,0.01997870058617422,1.4675143148049081,0.7222222222222222,supported
43,126,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.281428547500366e-14,1199637116773.772,0.0006419627561142236,1.2414859136985616,0.6111111111111112,supported
43,126,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.281428547500366e-14,1199637116773.772,0.0006419627561142236,1.2414859136985616,0.6111111111111112,supported
